Priority Rank,Vertical,Niche,Data Product / Decision,Agent Job-to-be-Done,API Endpoint,HTTP Method,Request JSON,Response JSON,Update / Freshness,Student Name
11,Healthcare,Medical Devices,Device approval/status,Check regulatory status for a device,POST /v1/medical-device/status,POST,"{""device_name"":""Example Device"",""manufacturer"":""ExampleCo"",""country"":""US""}","{""status"":""cleared"",""classification"":""Class II"",""approval_id"":""ABC123"",""indications"":[""...""],""sources"":[{""id"":""FDA-1""}]}",daily,
12,Legal & Compliance,Contracts,Contract clause risk check,Identify risky or missing contract clauses,POST /v1/legal/contract/risk,POST,"{""contract_type"":""SaaS"",""clauses"":[""limitation_of_liability"",""indemnity"",""data_processing""]}","{""risks"":[{""clause"":""indemnity"",""severity"":""high"",""reason"":""...""}],""missing"":[""DPA""],""confidence"":0.91}",static,
13,Real Estate,Zoning,Zoning eligibility,Determine permitted use for parcel,POST /v1/realestate/zoning/check,POST,"{""address"":""123 Main St, Austin, TX"",""proposed_use"":""ADU""}","{""allowed"":true,""zoning_code"":""SF-3"",""conditions"":[""max_size_1100_sqft""],""sources"":[{""id"":""CITY-1""}]}",weekly,
14,Travel & Hospitality,Immigration,Visa requirements,Check entry/visa requirements,POST /v1/travel/visa/check,POST,"{""passport"":""PK"",""destination"":""CA"",""trip_purpose"":""tourism"",""stay_days"":14}","{""visa_required"":true,""visa_type"":""visitor"",""documents"":[""passport"",""application""],""validity_rules"":[""...""],""last_verified"":""2026-08-17""}",daily,
15,Logistics & Supply Chain,Shipping,Shipment tracking,Return current shipment state,GET /v1/logistics/shipment/status,GET,"{""tracking_number"":""ABC123""}","{""tracking_number"":""ABC123"",""status"":""in_transit"",""location"":""Dubai"",""eta"":""2026-08-19T12:00:00Z"",""last_event_at"":""2026-08-17T09:00:00Z""}",hourly,
16,Logistics & Supply Chain,Customs,Customs tariff calculation,Calculate estimated duty/tariff,POST /v1/logistics/customs/tariff,POST,"{""origin"":""CN"",""destination"":""US"",""hs_code"":""8517.62"",""customs_value"":10000}","{""duty_rate"":0.0,""estimated_duty"":0,""currency"":""USD"",""regimes"":[""MFN""],""confidence"":0.96,""sources"":[{""id"":""TARIFF-1""}]}",daily,
17,Manufacturing,Maintenance,Spare-part compatibility,Determine whether a part fits an asset,POST /v1/manufacturing/part/compatibility,POST,"{""asset_id"":""PUMP-123"",""part_number"":""PART-456""}","{""compatible"":true,""fitment"":""direct"",""constraints"":[],""confidence"":0.98,""sources"":[{""id"":""OEM-1""}]}",weekly,
18,HR & Workforce,Recruiting,Candidate/job match,Score candidate against job requirements,POST /v1/hr/match,POST,"{""candidate"":{""skills"":[""python"",""nlp""],""years_experience"":6},""job"":{""required_skills"":[""python""],""preferred_skills"":[""nlp""],""min_years"":4}}","{""match_score"":0.91,""matched"":[""python"",""nlp""],""gaps"":[],""explanation"":[""...""]}",static,
19,Procurement,Supplier Intelligence,Supplier capability lookup,Find suppliers matching requirements,POST /v1/procurement/suppliers/search,POST,"{""category"":""industrial_pumps"",""country"":""AE"",""requirements"":[""API_610"",""ISO9001""]}","{""suppliers"":[{""id"":""S1"",""name"":""ExampleCo"",""certifications"":[""ISO9001""],""match_score"":0.93}]}",weekly,
20,Procurement,Pricing,Product price benchmark,Return current market price benchmark,GET /v1/procurement/price/benchmark,GET,"{""sku"":""P-123"",""region"":""US"",""quantity"":100}","{""currency"":""USD"",""p50_unit_price"":12.5,""p25"":11.2,""p75"":14.1,""sample_size"":18,""as_of"":""2026-08-17""}",daily,
21,Procurement,RFQ,RFQ comparison,Normalize and rank supplier quotes,POST /v1/procurement/rfq/compare,POST,"{""quotes"":[{""supplier"":""S1"",""unit_price"":10,""lead_days"":20},{""supplier"":""S2"",""unit_price"":11,""lead_days"":10}],""weights"":{""price"":0.6,""lead_time"":0.4}}","{""ranked"":[{""supplier"":""S1"",""score"":0.82},{""supplier"":""S2"",""score"":0.79}],""recommended"":""S1""}",per_request,
22,Agriculture & Food,Food Safety,Food regulation compliance,Check food product against regulatory requirements,POST /v1/food/compliance/check,POST,"{""country"":""US"",""product_category"":""bakery"",""ingredients"":[""...""],""claims"":[""high_protein""]}","{""compliant"":false,""issues"":[""claim_substantiation""],""sources"":[{""id"":""REG-1""}]}",weekly,
23,Cybersecurity,Vulnerability,CVE intelligence,Return current vulnerability information,GET /v1/security/cve,GET,"{""cve"":""CVE-2026-12345""}","{""cve"":""CVE-2026-12345"",""severity"":""high"",""cvss"":8.8,""affected_products"":[""...""],""published"":""2026-08-10"",""sources"":[{""id"":""NVD""}]}",hourly,
24,Cybersecurity,Threat Intelligence,IOC reputation,Assess an IP/domain/hash reputation,POST /v1/security/reputation,POST,"{""indicator"":""1.2.3.4"",""type"":""ip""}","{""risk_score"":0.82,""verdict"":""malicious"",""categories"":[""botnet""],""confidence"":0.93,""sources"":[{""id"":""TI-1""}]}",minutes,
25,Cybersecurity,Security Compliance,Control mapping,Map system controls to security frameworks,POST /v1/security/control-map,POST,"{""framework"":""ISO27001"",""controls"":[""access_control"",""logging""]}","{""mapping"":[{""control"":""access_control"",""iso27001"":""A.5""}],""gaps"":[]}",weekly,
26,Construction & Infrastructure,Building Codes,Building code requirement lookup,Return applicable code requirements,GET /v1/construction/code,GET,"{""country"":""US"",""state"":""TX"",""city"":""Austin"",""topic"":""fire_exit""}","{""requirements"":[{""code"":""IBC"",""section"":""..."",""requirement"":""...""}],""effective_date"":""2026-01-01""}",monthly,
27,Construction & Infrastructure,Permitting,Permit requirement,Determine permits required for project,POST /v1/construction/permit/check,POST,"{""location"":""Austin, TX"",""project_type"":""residential_addition"",""area_sqft"":500}","{""permits"":[""building"",""electrical""],""estimated_fee"":850,""sources"":[{""id"":""CITY-1""}]}",weekly,
28,Business Intelligence,Company Intelligence,Company profile,Return normalized company facts,GET /v1/company/profile,GET,"{""company"":""ExampleCo""}","{""legal_name"":""ExampleCo Ltd"",""country"":""GB"",""industry"":""software"",""employees"":1200,""status"":""active"",""as_of"":""2026-08-17""}",daily,
29,Business Intelligence,Company Intelligence,Company trigger/events,Return recent material company events,GET /v1/company/events,GET,"{""company_id"":""12345"",""since"":""2026-08-01""}","{""events"":[{""type"":""funding"",""amount"":25000000,""date"":""2026-08-10""},{""type"":""executive_change"",""date"":""2026-08-12""}]}",daily,
30,Logistics & Supply Chain,ETA,ETA prediction,Predict shipment ETA from events,POST /v1/logistics/eta,POST,"{""shipment_id"":""ABC123"",""events"":[{""type"":""departed"",""time"":""2026-08-16T10:00:00Z""}]}","{""eta"":""2026-08-19T12:00:00Z"",""confidence"":0.87,""factors"":[""port_congestion""]}",hourly,
31,Manufacturing,Maintenance,Equipment failure risk,Estimate near-term failure risk,POST /v1/manufacturing/failure-risk,POST,"{""asset_id"":""PUMP-123"",""signals"":{""temperature"":92,""vibration"":7.1,""pressure"":41}}","{""risk_score"":0.78,""horizon_hours"":72,""top_factors"":[""vibration"",""temperature""],""confidence"":0.88}",minutes,
32,Energy & Utilities,Energy Markets,Power price,Return current regional power price,GET /v1/energy/market/price,GET,"{""market"":""ERCOT"",""node"":""HB_NORTH""}","{""price"":42.5,""currency"":""USD"",""unit"":""MWh"",""timestamp"":""2026-08-17T10:00:00Z""}",minutes,
33,Procurement,Vendor Risk,Supplier risk,Score supplier operational risk,POST /v1/procurement/vendor-risk,POST,"{""supplier_id"":""S1"",""country"":""CN"",""category"":""electronics""}","{""risk_score"":0.42,""factors"":[""single_source_dependency""],""confidence"":0.88}",daily,
34,Business Intelligence,News Intelligence,Entity news summary,Return verified news/events for an entity,GET /v1/news/entity,GET,"{""entity"":""ExampleCo"",""since"":""2026-08-16""}","{""items"":[{""title"":""..."",""published_at"":""2026-08-17T08:00:00Z"",""sentiment"":""neutral"",""source"":""Publisher"",""url"":""...""}]}",minutes,
35,Insurance,Claims,Claim coverage lookup,Determine whether a claim is covered under policy terms,POST /v1/insurance/coverage/check,POST,"{""policy_type"":""auto"",""claim_type"":""collision"",""policy_terms_version"":""2026.4"",""facts"":{""driver_at_fault"":false}}","{""covered"":true,""coverage_type"":""collision"",""deductible"":500,""exclusions"":[],""confidence"":0.95}",daily,
36,Healthcare,Clinical Operations,Clinical guideline lookup,Retrieve current guideline recommendations,GET /v1/health/guidelines,GET,"{""condition"":""hypertension"",""country"":""US"",""population"":""adult""}","{""recommendations"":[{""action"":""lifestyle_modification"",""strength"":""strong""},{""action"":""first_line_medication"",""strength"":""strong""}],""version"":""2026.1"",""sources"":[{""id"":""GUIDE-1""}]}",monthly,
37,Regulatory & Compliance,Employment Law,Employment rule lookup,Retrieve jurisdiction-specific employment rules,GET /v1/employment/rules,GET,"{""country"":""US"",""state"":""CA"",""topic"":""paid_leave""}","{""rules"":[{""name"":""paid_sick_leave"",""value"":""state_minimum"",""effective_date"":""2026-01-01""}],""sources"":[{""id"":""SRC-001""}]}",daily,
38,Finance & Banking,Corporate Finance,Financial ratio calculation,Compute normalized financial ratios,POST /v1/finance/ratios,POST,"{""revenue"":1000000,""ebitda"":180000,""assets"":2000000,""liabilities"":1200000}","{""ratios"":{""ebitda_margin"":0.18,""debt_to_assets"":0.6,""current_ratio"":1.8},""formula_version"":""1.0""}",static,
39,Finance & Banking,Payments,Payment fee/routing comparison,Choose cheapest payment route,POST /v1/payments/route,POST,"{""amount"":1000,""currency"":""USD"",""country"":""US"",""methods"":[""card"",""ach""]}","{""recommended"":""ach"",""estimated_fee"":3.5,""alternatives"":[{""method"":""card"",""fee"":29.3}]}",daily,
40,Insurance,Benefits,Benefits eligibility,Determine employee benefit eligibility,POST /v1/benefits/eligibility,POST,"{""country"":""US"",""employment_type"":""full_time"",""tenure_months"":8,""benefit"":""health""}","{""eligible"":true,""waiting_period_remaining_days"":0,""rules_applied"":[""PLAN-2026-01""]}",monthly,
41,Legal & Compliance,Employment,Employment policy compliance,Check policy against local requirements,POST /v1/legal/employment/check,POST,"{""jurisdiction"":""US-CA"",""policy_type"":""leave"",""policy_text"":""...""}","{""compliant"":false,""gaps"":[""state_leave_requirement""],""severity"":""medium"",""sources"":[{""id"":""LAW-1""}]}",daily,
42,Real Estate,Property Search,Property facts,Return normalized property facts,GET /v1/realestate/property,GET,"{""address"":""123 Main St, Austin, TX""}","{""address"":""123 Main St, Austin, TX"",""property_type"":""single_family"",""beds"":3,""baths"":2,""lot_sqft"":7200,""last_sale_price"":450000,""as_of"":""2026-08-17""}",daily,
43,Real Estate,Property Tax,Property tax estimate,Estimate current property taxes,POST /v1/realestate/tax/estimate,POST,"{""address"":""123 Main St, Austin, TX"",""assessed_value"":500000}","{""annual_tax"":10000,""effective_rate"":0.02,""tax_year"":2026,""confidence"":0.97}",annual,
44,Real Estate,Rental,Rent benchmark,Return local rent benchmark,GET /v1/realestate/rent/benchmark,GET,"{""zip"":""78701"",""beds"":2}","{""median_monthly_rent"":2800,""p25"":2400,""p75"":3300,""sample_size"":125,""as_of"":""2026-08-17""}",weekly,
45,Real Estate,Mortgage,Mortgage payment/affordability,Calculate payment and affordability,POST /v1/realestate/mortgage/affordability,POST,"{""price"":500000,""down_payment"":100000,""rate"":0.065,""term_years"":30,""income"":150000}","{""monthly_payment"":2528,""dti_estimate"":0.2,""affordable"":true,""assumptions"":[""taxes_excluded""]}",daily,
46,Travel & Hospitality,Air Travel,Flight disruption status,Return current flight status/disruption,GET /v1/travel/flight/status,GET,"{""flight"":""PK123"",""date"":""2026-08-17""}","{""status"":""delayed"",""departure"":""2026-08-17T18:00:00Z"",""estimated_departure"":""2026-08-17T20:15:00Z"",""delay_minutes"":135}",minutes,
47,Travel & Hospitality,Hotels,Hotel policy lookup,Return cancellation/check-in/pet policies,GET /v1/travel/hotel/policies,GET,"{""hotel_id"":""H123""}","{""hotel_id"":""H123"",""cancellation"":{""deadline"":""2026-08-18T18:00:00Z"",""fee"":""one_night""},""check_in"":""15:00"",""pets_allowed"":false,""last_verified"":""2026-08-17""}",daily,
48,Travel & Hospitality,Travel Safety,Destination risk advisory,Summarize current travel risk,GET /v1/travel/risk,GET,"{""country"":""PK"",""region"":""KHI""}","{""risk_level"":""medium"",""advisories"":[""...""],""issued_at"":""2026-08-17"",""sources"":[{""id"":""GOV-1""}]}",daily,
49,Manufacturing,Quality,Specification compliance,Check product measurements against spec,POST /v1/manufacturing/quality/check,POST,"{""product"":""muffin"",""measurements"":{""weight_g"":82,""diameter_mm"":70},""spec"":{""weight_min"":78,""weight_max"":86}}","{""pass"":true,""deviations"":[],""quality_score"":0.96}",per_batch,
50,Manufacturing,BOM,Component availability,Check component availability and lead time,GET /v1/manufacturing/component/availability,GET,"{""part_number"":""PART-456"",""quantity"":100}","{""available"":60,""backorder"":40,""lead_time_days"":21,""suppliers"":[{""supplier"":""S1"",""available"":100,""lead_time_days"":14}]}",daily,
51,HR & Workforce,Compensation,Salary benchmark,Return market compensation benchmark,GET /v1/hr/compensation/benchmark,GET,"{""role"":""software_engineer"",""location"":""Islamabad"",""level"":""senior""}","{""currency"":""PKR"",""p50"":450000,""p25"":350000,""p75"":600000,""sample_size"":240,""as_of"":""2026-08-01""}",monthly,
52,HR & Workforce,Employment Compliance,Leave/pay rules,Return local employment obligations,GET /v1/hr/employment/rules,GET,"{""country"":""PK"",""province"":""Punjab"",""topic"":""annual_leave""}","{""rules"":[{""name"":""minimum_annual_leave_days"",""value"":14,""source"":""...""}],""effective_date"":""2026-01-01""}",monthly,
53,Retail & E-commerce,Product Data,Product specification lookup,Return normalized product specs,GET /v1/retail/product/specs,GET,"{""gtin"":""123456789""}","{""gtin"":""123456789"",""brand"":""Example"",""model"":""X1"",""attributes"":{""weight_g"":1200,""battery_wh"":60},""verified"":true}",daily,
54,Retail & E-commerce,Inventory,Inventory availability,Check stock by location,GET /v1/retail/inventory,GET,"{""sku"":""SKU123"",""location"":""LHR""}","{""sku"":""SKU123"",""location"":""LHR"",""available"":18,""timestamp"":""2026-08-17T10:00:00Z""}",minutes,
55,Retail & E-commerce,Returns,Return-policy eligibility,Check whether an item can be returned,POST /v1/retail/returns/check,POST,"{""merchant"":""ExampleStore"",""purchase_date"":""2026-08-01"",""item_category"":""electronics"",""condition"":""unopened""}","{""eligible"":true,""deadline"":""2026-08-31"",""refund_method"":""original_payment""}",daily,
56,Retail & E-commerce,Product Compatibility,Compatibility lookup,Check whether products work together,POST /v1/retail/compatibility,POST,"{""product_a"":""PHONE-X"",""product_b"":""CASE-Y""}","{""compatible"":true,""reason"":""model_match"",""confidence"":0.99}",weekly,
57,Cybersecurity,Domain Security,Domain reputation,Check domain reputation/security configuration,GET /v1/security/domain,GET,"{""domain"":""example.com""}","{""spf"":true,""dkim"":true,""dmarc"":""reject"",""reputation_score"":0.96,""checked_at"":""2026-08-17""}",daily,
58,Automotive,Recall,Vehicle recall lookup,Check whether a vehicle has an active recall,GET /v1/auto/recalls,GET,"{""vin"":""1HGBH41JXMN109186""}","{""recalls"":[{""id"":""R-123"",""severity"":""high"",""remedy_available"":true}],""checked_at"":""2026-08-17""}",daily,
59,Education,Admissions,Admission requirements,Return current admission requirements,GET /v1/education/admissions/requirements,GET,"{""institution"":""Example University"",""program"":""MS Computer Science"",""term"":""2027-Fall""}","{""requirements"":[{""item"":""bachelors_degree"",""required"":true},{""item"":""gre"",""required"":false}],""deadline"":""2027-01-15"",""sources"":[{""id"":""UNI-1""}]}",weekly,
60,Education,Scholarships,Scholarship eligibility,Determine eligibility for scholarships,POST /v1/education/scholarship/eligibility,POST,"{""country"":""PK"",""gpa"":3.7,""program"":""MS CS"",""income_usd"":18000}","{""eligible"":[{""scholarship"":""S1"",""match_score"":0.91}],""reasons"":[""gpa"",""income""]}",weekly,
61,Media & Advertising,Ad Compliance,Advertising claim compliance,Check ad copy against platform/regulatory constraints,POST /v1/marketing/ad-compliance/check,POST,"{""market"":""US"",""industry"":""health"",""copy"":""...""}","{""compliant"":false,""issues"":[{""type"":""unsupported_claim"",""severity"":""high""}],""sources"":[{""id"":""REG-1""}]}",daily,
62,Finance & Banking,Credit,Loan affordability,Estimate affordability from applicant inputs,POST /v1/credit/affordability,POST,"{""income"":120000,""monthly_debt"":2500,""requested_amount"":300000,""term_months"":360}","{""eligible"":true,""estimated_dti"":0.31,""max_affordable"":325000,""reasons"":[""income_supports_payment""],""disclaimer"":""decision-support""}",daily,
63,Finance & Banking,Credit Risk,Business credit indicators,Return business credit/risk attributes,GET /v1/business/credit-risk,GET,"{""company_id"":""12345""}","{""risk_band"":""medium"",""payment_score"":78,""adverse_events"":0,""as_of"":""2026-08-17""}",daily,
64,Insurance,Underwriting,Risk factor lookup,Normalize risk factors for underwriting,POST /v1/insurance/risk-factors,POST,"{""product"":""commercial_property"",""location"":{""country"":""US"",""state"":""FL"",""zip"":""33101""}}","{""risk_factors"":[{""factor"":""flood"",""score"":0.82},{""factor"":""wind"",""score"":0.71}],""as_of"":""2026-08-17""}",daily,
65,Insurance,Fraud,Fraud signal lookup,Return explainable claim fraud indicators,POST /v1/insurance/fraud/signals,POST,"{""claim_amount"":8500,""claim_type"":""auto"",""history"":{""prior_claims_12m"":3}}","{""risk_score"":0.72,""signals"":[""frequent_claims"",""high_amount""],""confidence"":0.88}",daily,
66,Healthcare,Insurance,Claim coding validation,Check basic coding/coverage consistency,POST /v1/health/claims/validate,POST,"{""diagnosis_codes"":[""I10""],""procedure_codes"":[""99213""],""payer"":""example""}","{""valid"":true,""issues"":[],""coverage_notes"":[""requires_documentation""],""confidence"":0.94}",weekly,
67,Healthcare,Pharmacy,Drug interaction lookup,Check interactions between medications,POST /v1/health/drugs/interactions,POST,"{""drugs"":[""drug_a"",""drug_b""],""patient_context"":{""age"":55}}","{""interaction"":true,""severity"":""moderate"",""mechanism"":""..."",""sources"":[{""id"":""DRUG-1""}]}",daily,
68,Legal & Compliance,Legal Research,Case/statute lookup,Retrieve structured legal authority,GET /v1/legal/authority,GET,"{""jurisdiction"":""US-CA"",""citation"":""Example Code 123""}","{""authority_type"":""statute"",""citation"":""Example Code 123"",""current"":true,""effective_date"":""2026-01-01"",""text_uri"":""..."",""source"":""official""}",daily,
69,Legal & Compliance,Litigation,Case outcome/statute change alerts,Track material legal changes,GET /v1/legal/changes,GET,"{""jurisdiction"":""US-CA"",""topic"":""employment"",""since"":""2026-08-01""}","{""changes"":[{""type"":""court_decision"",""impact"":""high"",""citation"":""..."",""summary"":""...""}]}",daily,
70,Logistics & Supply Chain,Freight,Freight rate benchmark,Return current lane pricing benchmark,GET /v1/logistics/freight/rate,GET,"{""origin"":""Shanghai"",""destination"":""Los Angeles"",""mode"":""ocean"",""container"":""40HC""}","{""median_rate"":2200,""currency"":""USD"",""valid_for"":""2026-08-17"",""sample_size"":34}",daily,
71,Education,Credentials,Credential verification,Verify an education credential,POST /v1/education/credential/verify,POST,"{""institution"":""Example University"",""credential_id"":""ABC123""}","{""verified"":true,""credential_type"":""masters"",""issue_date"":""2024-06-01"",""institution"":""Example University""}",daily,
72,Automotive,Maintenance,Maintenance schedule,Return recommended maintenance schedule,GET /v1/auto/maintenance/schedule,GET,"{""make"":""Toyota"",""model"":""Camry"",""year"":2025,""mileage_km"":60000}","{""due"":[{""item"":""oil_change"",""interval_km"":10000},{""item"":""brake_inspection"",""interval_km"":30000}],""source"":""OEM""}",monthly,
73,Finance & Banking,Corporate Actions,Corporate action lookup,"Retrieve dividends, splits and corporate actions",GET /v1/finance/corporate-actions,GET,"{""ticker"":""AAPL"",""from"":""2026-08-01"",""to"":""2026-09-01""}","{""actions"":[{""type"":""dividend"",""ex_date"":""2026-08-15"",""amount"":0.25,""currency"":""USD""}]}",hourly,
74,Healthcare,Clinic Operations,Appointment/insurance rules,Return payer-specific operational rules,GET /v1/health/payer/rules,GET,"{""payer"":""ExampleHealth"",""state"":""TX"",""service"":""MRI""}","{""rules"":[{""name"":""prior_authorization"",""required"":true},{""name"":""referral"",""required"":false}],""effective_date"":""2026-07-01""}",weekly,
75,Healthcare,Drug Information,Drug label/fact lookup,Retrieve current label facts,GET /v1/health/drug/label,GET,"{""drug"":""ExampleDrug"",""field"":""contraindications""}","{""drug"":""ExampleDrug"",""contraindications"":[""...""],""last_updated"":""2026-07-20"",""source"":""label""}",daily,
76,Legal & Compliance,IP,Patent status lookup,Check patent/application status,GET /v1/ip/patent/status,GET,"{""publication_number"":""US1234567""}","{""status"":""active"",""filing_date"":""2020-01-01"",""expiry_date"":""2040-01-01"",""owner"":""ExampleCo""}",daily,
77,Logistics & Supply Chain,Port Operations,Port congestion,Return port congestion indicators,GET /v1/logistics/port/congestion,GET,"{""port"":""LAX""}","{""congestion_index"":0.68,""avg_dwell_hours"":62,""vessels_waiting"":8,""as_of"":""2026-08-17T10:00:00Z""}",hourly,
78,Manufacturing,Standards,Engineering standard lookup,Retrieve applicable technical standard requirements,GET /v1/manufacturing/standards,GET,"{""product_type"":""pressure_vessel"",""country"":""US""}","{""standards"":[{""id"":""ASME-X"",""requirements"":[""...""],""current"":true}],""sources"":[{""id"":""STD-1""}]}",monthly,
79,Energy & Utilities,Oil & Gas,Commodity benchmark,Return current oil/gas benchmark,GET /v1/energy/commodity/price,GET,"{""commodity"":""WTI"",""tenor"":""spot""}","{""price"":68.2,""currency"":""USD"",""unit"":""barrel"",""as_of"":""2026-08-17T10:00:00Z""}",minutes,
80,Energy & Utilities,Renewables,Solar/wind production forecast,Forecast renewable generation,POST /v1/energy/renewables/forecast,POST,"{""asset_id"":""SOLAR-1"",""horizon_hours"":24,""weather_source"":""...""}","{""forecast"":[{""time"":""2026-08-17T11:00:00Z"",""mw"":12.4}],""confidence"":0.84}",hourly,
81,Energy & Utilities,Grid,Outage status,Return current outage information,GET /v1/energy/outages,GET,"{""region"":""TX""}","{""outages"":[{""area"":""Austin"",""customers_affected"":1200,""eta"":""2026-08-17T16:00:00Z""}],""as_of"":""2026-08-17T10:00:00Z""}",minutes,
82,Telecom & Connectivity,Plans,Plan comparison,Compare telecom plans by user requirements,POST /v1/telecom/plans/compare,POST,"{""country"":""PK"",""data_gb"":50,""voice_minutes"":1000}","{""plans"":[{""provider"":""P1"",""monthly_price"":20,""data_gb"":60,""score"":0.92}]}",daily,
83,Government & Public Data,Public Services,Government service eligibility,Determine eligibility for a public program,POST /v1/gov/benefits/eligibility,POST,"{""country"":""US"",""state"":""CA"",""program"":""housing_assistance"",""household_income"":45000,""household_size"":3}","{""eligible"":true,""reason_codes"":[""income_threshold""],""sources"":[{""id"":""GOV-1""}]}",monthly,
84,Government & Public Data,Public Records,Business registration lookup,Retrieve normalized company registration facts,GET /v1/gov/business/registration,GET,"{""country"":""PK"",""registration_number"":""12345""}","{""legal_name"":""ExampleCo"",""status"":""active"",""registered_date"":""2018-01-01"",""jurisdiction"":""PK""}",daily,
85,Agriculture & Food,Commodity,Commodity price,Return commodity benchmark price,GET /v1/agri/commodity/price,GET,"{""commodity"":""wheat"",""market"":""US""}","{""price"":210,""currency"":""USD"",""unit"":""metric_ton"",""as_of"":""2026-08-17T10:00:00Z""}",daily,
86,Agriculture & Food,Weather,Field weather risk,Assess weather risk for crop/field,POST /v1/agri/weather-risk,POST,"{""location"":{""lat"":31.52,""lon"":74.35},""crop"":""wheat"",""horizon_days"":7}","{""risk_level"":""high"",""risks"":[""heat"",""low_rain""],""confidence"":0.84,""forecast_window_days"":7}",hourly,
87,Construction & Infrastructure,Materials,Material price benchmark,Return current material cost benchmark,GET /v1/construction/material/price,GET,"{""material"":""concrete"",""region"":""Austin"",""unit"":""cubic_yard""}","{""median_price"":165,""currency"":""USD"",""unit"":""cubic_yard"",""as_of"":""2026-08-17""}",weekly,
88,Automotive,Vehicle Data,Vehicle specification lookup,Return normalized vehicle specifications,GET /v1/auto/vehicle/specs,GET,"{""vin"":""1HGBH41JXMN109186""}","{""make"":""Example"",""model"":""X"",""year"":2025,""engine"":""2.0L"",""fuel"":""hybrid"",""verified"":true}",daily,
89,Travel & Hospitality,Ground Transport,Airport transfer ETA/fare,Estimate transfer time and fare,POST /v1/travel/transfer/estimate,POST,"{""origin"":""LHR"",""destination"":""Central London"",""vehicle"":""sedan""}","{""eta_minutes"":55,""estimated_fare"":75,""currency"":""GBP"",""as_of"":""2026-08-17T10:00:00Z""}",hourly,
